Dataset,Model,Accuracy,F1 Score,Precision,Recall,Training Time (sec),Evaluation Time (sec)
Tamil,XGBoost,0.7878017789072427,0.7835363899861445,0.7858745043064738,0.7878017789072427,30.604140758514404,0.07717680931091309
Tamil,Logistic Regression,0.636594663278272,0.569732677404215,0.6226079501352035,0.636594663278272,0.03433108329772949,0.009182929992675781
Tamil,Random Forest,0.6607369758576874,0.5818748173179515,0.7026126412579524,0.6607369758576874,12.856614828109741,0.02240920066833496
Tamil,SVM,0.6264294790343075,0.5087539569083016,0.6410899484468839,0.6264294790343075,16.315295696258545,0.2688004970550537
Tamil,KNN,0.6162642947903431,0.6162642947903431,0.6162642947903431,0.6162642947903431,0.002063274383544922,0.37520360946655273
Tamil,MLP,0.7445997458703939,0.7456884950612128,0.7473218868974005,0.7445997458703939,59.020139932632446,0.012920379638671875
Tamil-English,XGBoost,0.770012706480305,0.7630949445534336,0.7684874978499288,0.770012706480305,18.425524473190308,0.05723404884338379
Tamil-English,Logistic Regression,0.6302414231257941,0.567508852967261,0.608392466023502,0.6302414231257941,0.036997318267822266,0.011055707931518555
Tamil-English,Random Forest,0.6594663278271918,0.5755219283898957,0.7120262524833043,0.6594663278271918,8.640562057495117,0.022092103958129883
Tamil-English,SVM,0.6353240152477764,0.5368643806150125,0.6489335564513746,0.6353240152477764,17.388913869857788,0.2751772403717041
Tamil-English,KNN,0.6454891994917408,0.6376225443694318,0.6357064180634813,0.6454891994917408,0.0009951591491699219,0.061098575592041016
Tamil-English,MLP,0.7598475222363406,0.7603503627742205,0.7609751318191302,0.7598475222363406,50.95831561088562,0.030274629592895508
Tamil (Original+English),XGBoost,0.7916137229987293,0.7859546159954375,0.791147450922091,0.7916137229987293,35.82637929916382,0.06801080703735352
Tamil (Original+English),Logistic Regression,0.6543837357052097,0.614965084173047,0.6428385189114768,0.6543837357052097,0.10657262802124023,0.017535924911499023
Tamil (Original+English),Random Forest,0.6696315120711563,0.5881929156021377,0.7438140897666511,0.6696315120711563,25.22687268257141,0.0486912727355957
Tamil (Original+English),SVM,0.6543837357052097,0.5941286390198358,0.65594170444261,0.6543837357052097,67.15659022331238,0.8533949851989746
Tamil (Original+English),KNN,0.6226175349428208,0.6154158973469981,0.6126509187236722,0.6226175349428208,0.001997709274291992,0.11418962478637695
Tamil (Original+English),MLP,0.7827191867852605,0.7829190808838177,0.7831422060078201,0.7827191867852605,41.20271325111389,0.011387348175048828
